ID	Bin 	Shoot	Treatment	Date	Count	Dead	GrowthWarm1	CountWarm1	DeadWarm1	Shoot	Side	Rhiz	Root	Above	Below	AB	Total	FixedGrowth	Starch_Per	Starch_mg_g
96	20	1	H	4/17/17	26	0	6.95	3	0	0.4703	2.4448	1.4997	1.4274	2.9151	2.9271	0.995900379	5.8422	6.95	3.232380669	32.32380669
97	20	2	H	4/17/17	23	0	6.20	4	0	0.5262	2.8265	1.3278	1.209	3.3527	2.5368	1.32162567	5.8895	6.20	7.992381263	79.92381263
100	20	5	H	4/17/17	7	0	6.13	2	0	0.5415	0.6724	1.7077	0.6437	1.2139	2.3514	0.516245641	3.5653	6.13	7.254122044	72.54122044
6	2	1	H	3/21/17	NA	1	5.10	1	0	NA	NA	NA	NA	NA	NA	NA	NA	5.10	NA	NA
8	2	3	H	3/21/17	NA	1	NA	NA	1	0.9936	1.0781	0.7153	0.755	2.0717	1.4703	1.40903217	3.542	NA	NA	NA
12	3	2	C	3/21/17	NA	1	NA	NA	1	0.15	0.0486	0.1523	0.1981	0.1986	0.3504	0.566780822	0.549	NA		
16	4	1	H	3/21/17	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA		
18	4	3	H	3/21/17	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA		
21	5	1	C	3/21/17	NA	1	1.67	2	0	NA	NA	NA	NA	NA	NA	NA	NA	1.67		
23	5	3	C	3/21/17	NA	1	0.67	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0.67		
25	5	5	C	3/21/17	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA		
26	6	1	H	3/21/17	NA	1	4.10	3	0	NA	NA	NA	NA	NA	NA	NA	NA	4.10		
27	6	2	H	3/21/17	NA	1	4.47	1	0	NA	NA	NA	NA	NA	NA	NA	NA	4.47		
28	6	3	H	3/21/17	NA	1	6.33	3	0	NA	NA	NA	NA	NA	NA	NA	NA	6.33		
29	6	4	H	3/21/17	NA	1	4.23	3	0	NA	NA	NA	NA	NA	NA	NA	NA	4.23		
30	6	5	H	3/21/17	NA	1	4.57	2	0	NA	NA	NA	NA	NA	NA	NA	NA	4.57		
37	8	2	H	3/21/17	NA	1	5.33	2	0	NA	NA	NA	NA	NA	NA	NA	NA	5.33		
38	8	3	H	3/21/17	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA		
40	8	5	H	3/21/17	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA		
45	9	5	C	3/21/17	NA	1	1.90	1	0	NA	NA	NA	NA	NA	NA	NA	NA	1.90		
60	12	5	H	4/10/17	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	#VALUE!		
65	13	5	C	4/10/17	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	#VALUE!		
68	14	3	H	4/10/17	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	#VALUE!		
71	15	1	C	4/10/17	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	#VALUE!		
72	15	2	C	4/10/17	NA	1	5.40	2	0	NA	NA	NA	NA	NA	NA	NA	NA	2.7		
73	15	3	C	4/10/17	NA	1	6.60	1	0	NA	NA	NA	NA	NA	NA	NA	NA	3.3		
74	15	4	C	4/10/17	NA	1	11.90	2	0	NA	NA	NA	NA	NA	NA	NA	NA	5.95		
75	15	5	C	4/10/17	NA	1	8.37	2	0	NA	NA	NA	NA	NA	NA	NA	NA	4.183333333		
76	16	1	H	4/17/17	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	#VALUE!		
82	17	2	C	4/17/17	NA	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA		
90	18	5	H	4/17/17	NA	1	6.44	3	0	NA	NA	NA	NA	NA	NA	NA	NA	6.44		
92	19	2	C	4/17/17	NA	1	4.18	2	0	NA	NA	NA	NA	NA	NA	NA	NA	4.18		
98	20	3	H	4/17/17	NA	1	NA	#VALUE!	1	NA	NA	NA	NA	NA	NA	NA	NA	NA		
99	20	4	H	4/17/17	NA	1	4.20	1	0	NA	NA	NA	NA	NA	NA	NA	NA	4.20		
