TimePoint	Shoot_ID	PairID	SM2Treatment	SM1Treatment	TreatmentID	SM2_Bin	SM1_Bin	Shoot_Count	Growth1	Growth2	Growth3	Growth4	Total_Growth	GrowthPeriod	Growth_Day	Length_Begin	Width_Begin	Length_End	Width_End	Count_PreWarm	Dead_Recovery	CONTRA
Post	4	21	C	C	CC	5	5	5	11.4	1.9	16.9	0	30.2	4	7.55			57.7	0.5			0
Post	4	21	H	C	HC	6	5	4	11.5	2.9	0	0	14.4	4	3.6			70.2	NA			0
Post	1	22	C	C	CC	7	7						0		#DIV/0!						1	0
Post	1	22	H	C	HC	8	7	3	3.5	22.7	0	0	26.2	4	6.55			92.6	1.1			0
Post	2	23	H	C	HC	8	7	5	6	8.3	0	0	14.3	4	3.575			107.5	0.8			0
Post	3	24	C	C	CC	7	7	7	3	3.3	0	0	6.3	4	1.575			44	0.7			0
Post	3	24	H	C	HC	8	7	8	3.5	4.2	0	0	7.7	4	1.925			60	0.8			0
Post	4	25	C	C	CC	7	7	4	3.7	2.5	0	0	6.2	4	1.55			39	0.7			0
Post	4	25	H	C	HC	8	7	3	7	0	0	0	7	4	1.75			81	0.8			0
Post	5	26	C	C	CC	7	7	7	4.5	2.7	0	0	7.2	4	1.8			47	0.6			0
Post	5	26	H	C	HC	8	7	7	6.5	5.3	0	0	11.8	4	2.95			86	0.8			0
Post	2	27	C	H	CH	7	8	5	3	8	0	0	11	4	2.75			82.5	0.8			0
Post	2	27	H	H	HH	8	8	3	4.3	4.6	0	0	8.9	4	2.225			91.1	0.6			0
Post	3	28	C	H	CH	7	8	4	2.5	6.5	0	0	9	4	2.25			80	0.7			0
Post	3	28	H	H	HH	8	8	4	7.8	1	0	0	8.8	4	2.2			109	0.9			0
Post	5	30	C	H	CH	7	8						0		#DIV/0!						1	0
Post	5	30	H	H	HH	8	8	4	7.8	6	0	0	13.8	4	3.45			82.2	0.7			0
Post	1	31	C	C	CC	9	9	5	9.5	9	0	0	18.5	5	3.7			76	0.8			0
Post	1	31	H	C	HC	10	9	1	2.5	0	0	0	2.5	5	0.5			55.5	0.4			0
Post	3	32	C	C	CC	9	9	4	2	1.5	0	0	3.5	5	0.7			44	0.5			0
Post	3	32	H	C	HC	10	9	2	NA	NA	NA	NA	0	5	0			28	0.4			0
Post	4	33	C	C	CC	9	9	2	6	11.3	0	0	17.3	5	3.46			90	0.7			0
Post	4	33	H	C	HC	10	9	2	NA	NA	NA	NA	0	5	0			5.5	0.3			1
Post	3	34	C	H	CH	9	10	4	1	7.5	7	0	15.5	5	3.1			81	0.8			0
Post	3	34	H	H	HH	10	10	3	5.2	0.5	0	0	5.7	5	1.14			53	0.6			0
Post	1	35	C	C	CC	11	11	4	4.7	0	0	0	4.7	5	0.94			83.5	0.6			0
Post	1	35	H	C	HC	12	11	5	8	2	0	0	10	5	2			92	0.7			0
Post	2	36	C	C	CC	11	11	2	8	0	0	0	8	5	1.6			100.5	0.7			0
Post	2	36	H	C	HC	12	11	2	10.5	3.8	0	0	14.3	5	2.86			91	0.6			0
Post	3	37	C	C	CC	11	11	7	4.5	1.5	0	0	6	5	1.2			59	0.7			0
Post	3	37	H	C	HC	12	11	4	10.1	5.3	0	0	15.4	5	3.08			96	0.7			0
Post	4	38	C	C	CC	11	11	5	5.5	6	0	0	11.5	5	2.3			78	0.8			0
Post	4	38	H	C	HC	12	11	3	4	1.2	0	0	5.2	5	1.04			62	0.7			0
Post	5	39	C	C	CC	11	11	7	5	6.3	0	0	11.3	5	2.26			79	0.9			0
Post	1	40	H	C	HC	11	12	3	8	9.75	0	0	17.75	5	3.55			104	0.8			0
Post	1	40	H	H	HH	12	12	4	0.5	8.2	0	0	8.7	5	1.74			87	0.6			0
Post	3	41	C	H	CH	11	12	5	7	7.2	1	0	15.2	5	3.04			41	0.7			0
Post	4	42	C	H	CH	11	12	8	9.2	5	0.5	0	14.7	5	2.94			97	0.7			0
Post	4	42	H	H	HH	12	12	4	1.5	2.5	0	0	4	5	0.8			40	0.4			0
Post	5	43	C	H	CH	11	12	3	8	12	1.3	0	21.3	5	4.26			135	0.8			0
Post	5	43	H	H	HH	12	12	4	7.5	2.8	0	0	10.3	5	2.06			117	0.8			0
Post	2	44	C	C	CC	13	13	5	2.6	6.1	0.6	0	9.3	5	1.86			92.1	0.8			0
Post	2	44	H	C	HC	14	13	2	NA	NA	NA	NA	0	5	0			70.5	0.5			1
Post	3	45	C	C	CC	13	13	1	8.7	3.5	0	0	12.2	5	2.44			49.5	0.5			0
Post	3	45	H	C	HC	14	13	3	3.2	4.1	0	0	7.3	5	1.46			73.5	0.5			0
Post	4	46	C	C	CC	13	13	3	2.4	7.3	0	0	9.7	5	1.94			51.4	0.6			0
Post	4	46	H	C	HC	14	13	2	5.5	2	0	0	7.5	5	1.5			91	0.6			0
Post	1	47	C	H	CH	13	14	2	7.2	8	0.4	0	15.6	5	3.12			98.5	0.8			0
Post	1	47	H	H	HH	14	14	5	4	1	0	0	5	5	1			49.5	0.6			0
Post	2	48	C	H	CH	13	14	1	0.4	0	0	0	0.4	5	0.08			14	0.4			1
Post	2	48	H	H	HH	14	14	3	2.2	3.3	0	0	5.5	5	1.1			53	0.4			0
Post	3	49	C	H	CH	13	14	4	5.9	8	10.4	0	24.3	5	4.86			74.6	0.9			0
Post	3	49	H	H	HH	14	14	3	NA	NA	NA	NA	0	5	0			47.2	0.4			1
Post	1	50	C	C	CC	15	15	3	7.1	8	0.4	0	15.5	5	3.1			81.5	0.7			0
Post	1	50	H	C	HC	16	15	2	3	9.2	0	0	12.2	5	2.44			109.5	0.7			0
Post	3	51	C	C	CC	15	15	5	0.5	2.6	9.6	9.6	22.3	5	4.46			29.6	0.9			0
Post	3	51	H	C	HC	16	15	2	1	5.4	0	0	6.4	5	1.28			88	0.8			0
Post	5	52	C	C	CC	15	15	3	8	8.8	0.5	0	17.3	5	3.46			86.9	0.6			0
Post	5	52	H	C	HC	16	15	1	6.5	4	0	0	10.5	5	2.1			90.5	0.5			0
Post	1	53	C	H	CH	15	16	2	7.9	9.7	0.5	0	18.1	5	3.62			84.1	0.8			0
Post	1	53	H	H	HH	16	16	2	9.2	5	0	0	14.2	5	2.84			132.5	0.7			0
Post	2	54	C	H	CH	15	16	1	NA	NA	NA	NA	0	5	0			21.6	0.4			0
Post	2	54	H	H	HH	16	16	4	1.5	0	0	0	1.5	5	0.3			44	0.7			0
Post	4	55	C	H	CH	15	16	7	NA	NA	NA	NA	0	5	0			97.1	0.7			0
Post	4	55	H	H	HH	16	16	3	5	2.5	0	0	7.5	5	1.5			125	0.6			0
Post	5	56	C	H	CH	15	16	6	5.5	10.2	0	0	15.7	5	3.14			70.5	0.7			0
Post	5	56	H	H	HH	16	16	4	4	0	0	0	4	5	0.8			85.5	0.7			0
Post	1	57	C	C	CC	17	17	5	4.7	7.2	0	0	11.9	5	2.38			90	0.7			0
Post	1	57	H	C	HC	18	17	3	1.2	1.5	0	0	2.7	6	0.45			35	0.5			0
Post	2	58	C	C	CC	17	17	3	8	11.2	0.5	0	19.7	5	3.94			103.5	0.8			0
Post	3	59	C	C	CC	17	17	1	NA	NA	NA	NA	0	5	0			20	0.2			1
Post	3	59	H	C	HC	18	17	2	2.1	11.7	12.7	0	26.5	6	4.416666667			96	0.7			0
Post	5	60	C	C	CC	17	17	1	9.5	9.6	4.6	0	23.7	5	4.74			95	0.6			0
Post	5	60	H	C	HC	18	17	1	10.2	3.2	0	0	13.4	6	2.233333333			91	0.5			0
Post	1	61	C	H	CH	17	18	3	5.3	4.4	9	0	18.7	5	3.74			91	0.8			0
Post	1	61	H	H	HH	18	18	5	3.5	4.2	10	0	17.7	6	2.95			90	0.7			0
Post	2	62	C	H	CH	17	18	7	6.4	4.2	0	0	10.6	5	2.12			90	0.9			0
Post	2	62	H	H	HH	18	18	4	11	8.5	0	0	19.5	6	3.25			79	0.8			0
Post	3	63	C	H	CH	17	18	5	8.5	6.5	0	0	15	5	3			104	0.8			0
Post	3	63	H	H	HH	18	18	6	1	9	8.75	0	18.75	6	3.125			91	0.9			0
Post	4	64	H	H	HH	18	18	2	8	10	0	0	18	6	3			99	0.7			0
Post	5	65	H	H	HH	18	18						0	6	0						1	0
Post	1	66	C	C	CC	19	19	1	12	12	2.5	0	26.5	6	4.416666667			102	0.7			0
Post	1	66	H	C	HC	20	19						0		#DIV/0!							1
Post	2	67	C	C	CC	19	19	6	5.5	7.5	0	0	13	6	2.166666667			88	0.7			0
Post	3	68	C	C	CC	19	19	5	7.5	8.5	0	0	16	6	2.666666667			91	0.7			0
Post	3	68	H	C	HC	20	19						0		#DIV/0!							1
Post	4	69	C	C	CC	19	19	3	8	6.3	0	0	14.3	6	2.383333333			71	0.7			0
Post	4	69	H	C	HC	20	19						0		#DIV/0!							1
Post	5	70	C	C	CC	19	19	7	7.2	8	0	0	15.2	6	2.533333333			66.5	0.7			0
Post	5	70	H	C	HC	20	19						0		#DIV/0!							1
Post	1	71	C	H	CH	19	20	5	3	3	0	0	6	6	1			45	0.6			0
Post	1	71	H	H	HH	20	20						0		#DIV/0!							1
Post	2	72	C	H	CH	19	20						0		#DIV/0!						1	0
Post	2	72	H	H	HH	20	20	1	6	4	0	0	10	6	1.666666667			60.5	0.5			0
Post	3	73	C	H	CH	19	20	6	5	5.8	0	0	10.8	6	1.8			63.5	0.7			0
Post	3	73	H	H	HH	20	20	1	NA	NA	NA	NA	0	6	0			35	0.4			1
Post	5	74	C	H	CH	19	20	4	8.2	8.7	4	0	20.9	6	3.483333333			77	0.7			0
Post	5	74	H	H	HH	20	20	4	2	4.8	0	0	6.8	6	1.133333333			50	0.7			0
